specimen_id,total_length_mm,body_mass_g,somatic_mass_g,gonad_mass_g,liver_mass_g,sex,site,invasion_stage
RG001,139.45,35.306,32.021,1.275,0.851,F,A,established
RG002,127.38,25.53,21.849,1.037,0.511,F,C,front
RG003,91.22,8.348,7.043,0.139,0.172,M,C,front
RG004,104.65,13.374,12.417,0.248,0.25,M,B,established
RG005,114.94,18.288,16.02,0.727,0.415,F,A,established
RG006,119.96,22.462,20.905,0.605,0.613,M,B,established
RG007,155.69,39.76,36.396,1.027,0.889,M,B,established
RG008,104.51,13.65,12.728,0.63,0.382,F,C,front
RG009,126.17,24.688,23.01,0.652,0.571,M,B,established
RG010,98.21,12.653,11.685,14.653,0.313,M,A,established
RG011,99.4,13.189,11.821,0.297,0.316,M,B,established
RG012,140.47,36.022,32.02,0.736,0.889,M,B,established
RG013,104.09,12.028,11.0,0.202,0.3,M,A,established
RG014,71.16,4.608,4.292,0.223,0.084,F,B,established
RG015,129.53,21.954,20.413,1.062,0.375,F,B,established
RG016,71.51,3.993,3.363,0.116,0.062,F,B,established
RG017,103.42,15.359,14.03,0.64,0.246,F,A,established
RG018,116.73,21.11,18.256,1.159,0.321,F,C,front
RG019,105.32,13.052,11.683,0.615,0.212,F,C,front
RG020,130.32,30.024,27.338,0.672,0.571,M,B,established
RG021,112.1,18.66,17.444,0.485,0.51,M,C,front
RG022,106.61,12.678,11.866,0.254,0.316,M,B,established
RG023,95.8,11.198,9.689,0.34,0.194,F,B,established
RG024,66.78,3.584,3.363,0.191,0.109,F,B,established
RG025,116.6,17.161,15.773,0.424,0.361,M,A,established
RG026,113.29,16.057,14.693,0.319,0.342,M,C,front
RG027,102.3,11.007,9.268,0.48,0.177,F,A,established
RG028,109.41,15.457,13.812,0.32,0.384,M,A,established
RG029,106.66,15.041,13.96,0.439,0.366,M,A,established
RG030,111.68,15.912,14.192,0.445,0.378,M,A,established
RG031,96.87,10.565,8.985,0.184,0.262,M,B,established
RG032,144.23,30.302,27.385,0.67,0.845,M,A,established
RG033,113.98,16.526,15.077,0.621,0.375,F,C,front
RG034,110.13,15.406,13.654,0.393,0.32,M,A,established
RG035,115.32,20.722,18.735,0.598,0.523,M,A,established
RG036,115.11,20.128,18.364,0.459,0.42,M,A,established
RG037,114.29,18.086,16.056,0.92,0.475,F,B,established
RG038,96.41,10.347,8.854,0.234,0.228,M,B,established
RG039,81.5,5.552,4.861,0.312,0.096,F,C,front
RG040,92.93,10.665,9.931,0.496,0.294,F,B,established
RG041,127.67,26.848,24.929,1.007,0.501,F,A,established
RG042,107.08,12.908,12.116,0.699,0.289,F,B,established
RG043,107.0,16.792,14.879,0.751,0.351,F,B,established
RG044,96.45,10.636,9.699,0.518,0.225,F,B,established
RG045,105.33,12.882,11.147,0.628,0.264,F,C,front
RG046,113.72,16.761,14.997,0.465,0.468,M,C,front
RG047,98.63,12.826,11.265,0.623,0.352,F,A,established
RG048,107.62,15.084,14.039,0.344,0.283,M,B,established
RG049,99.69,12.186,10.707,0.4,0.344,F,A,established
RG050,117.2,17.751,16.546,0.78,0.411,F,B,established
RG051,137.09,30.714,27.377,1.09,0.772,F,C,front
RG052,111.45,13.638,12.118,0.364,0.332,M,A,established
RG053,146.24,36.982,34.31,0.921,1.108,M,C,front
RG054,91.52,8.117,7.427,0.239,0.175,M,C,front
RG055,129.97,31.013,28.146,1.106,0.612,F,C,front
RG056,117.06,18.323,16.377,0.685,0.395,F,B,established
RG057,100.37,12.962,11.809,0.286,0.252,M,C,front
RG058,110.1,15.059,14.077,0.312,0.382,M,B,established
RG059,97.64,11.556,10.688,0.418,0.268,F,C,front
RG060,109.34,13.095,12.243,0.317,0.31,M,A,established
RG005,114.94,18.288,16.02,0.727,0.415,F,A,established
